"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5"
"Sargocentron_suborbitale",0.122727605023819,0.238566836126037,0.0642907007342404,0.0146743063092147,-0.315309279203572
"Scarus_compressus",-0.0738376728741119,-0.151008284233701,-0.00351758637530278,-0.158187197640558,0.142645870382441
"Scarus_ghobban",-0.0957544842617991,-0.156500511401174,-0.0269273062862293,-0.190108980781396,0.153299029433936
"Scarus_perrico",-0.0738376728741119,-0.151008284233701,-0.00351758637530281,-0.158187197640558,0.142645870382441
"Scarus_rubroviolaceus",-0.0738376728741118,-0.151008284233701,-0.00351758637530277,-0.158187197640558,0.142645870382441
"Scorpaena_mystes",0.118421174158573,0.342940183050465,-0.102854135658411,0.115754515192142,0.0959697339449278
"Kyphosus_ocyurus",-0.284761825146177,-0.273390065775455,-0.0162901975771317,0.0990344028676143,-0.140556494639722
"Selar_crumenophthalmus",-0.539668009682062,0.220698752189092,0.0700269880067275,0.16843120728234,-0.0530647556078543
"Serranus_psittacinus",0.00131772714873875,0.31619829517009,-0.112145819073024,0.0546845512147734,0.0476604118114506
"Sphoeroides_annulatus",0.166288160461781,0.270000652390272,-0.043642990592737,0.000557250717089374,-0.0605384072616766
"Sphoeroides_lobatus",0.222318057635029,0.246416087890228,0.0081233844205584,0.0686785258925666,-0.0275748768548374
"Stegastes_acapulcoensis",0.188283923636055,-0.160218500797345,0.079631436868045,0.0642605139759875,0.133938490576869
"Stegastes_flavilatus",0.219659468397396,-0.179612671358472,0.094344877079156,0.089141769813181,0.152649793510523
"Stegastes_leucorus",0.219659468397396,-0.179612671358472,0.094344877079156,0.089141769813181,0.152649793510523
"Stegastes_rectifraenum",0.219659468397396,-0.179612671358472,0.094344877079156,0.089141769813181,0.152649793510523
